problem,method,c1,c2,alpha,tau,iterations,converged,f_final,grad_norm,func_evals,time,timeout
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.1,47,True,6.225511172204935e-13,1.0272783584436138e-06,83.0,0.0012164115905761719,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.2,22,True,7.884334986840716e-13,1.1053577544777254e-06,30.0,0.0004699230194091797,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.3,20,True,7.378448125516326e-13,1.2983499665821832e-06,24.0,0.0004115104675292969,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.4,21,True,2.4528510178244796e-21,2.1606802683671457e-09,27.0,0.00046753883361816406,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.5,20,True,2.754212709925819e-13,1.0228264027938973e-06,25.0,0.0005152225494384766,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.6,21,True,3.669529481674608e-26,1.7127341189325655e-13,30.0,0.0005087852478027344,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.7,21,True,2.6296178334943745e-24,8.231198727726179e-12,37.0,0.0005335807800292969,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.8,19,True,5.143010139172174e-13,7.732086991068945e-07,46.0,0.0006456375122070312,False
P7_Extended_Rosenbrock_n2,Newton_armijo,0.05,,1.0,0.9,19,True,2.6100967132527364e-13,5.693104081423989e-07,75.0,0.000993490219116211,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.1,92,True,6.26777837036709e-14,2.083716406933746e-06,173.0,0.00411224365234375,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.2,45,True,1.0046390569685512e-15,1.4124024579443991e-06,85.0,0.0019829273223876953,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.3,31,True,3.4536460246002104e-15,2.1033873810097196e-06,61.0,0.001428365707397461,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.4,23,True,4.3563365694853034e-16,9.301750863790867e-07,46.0,0.0009496212005615234,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.5,17,True,1.2170710061716068e-18,4.87491088901319e-08,38.0,0.0007774829864501953,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.6,24,True,6.639827579682186e-16,8.092654815591516e-07,53.0,0.0012710094451904297,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.7,31,True,4.46248648292281e-15,1.2420541259529735e-06,73.0,0.001775979995727539,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.8,45,True,2.00757382497404e-15,2.001976969677701e-06,141.0,0.0023682117462158203,False
P7_Extended_Rosenbrock_n2,Modified_Newton_armijo,0.05,,2.0,0.9,89,True,1.893714499592289e-15,1.9440053939838316e-06,259.0,0.005343437194824219,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.1,100,True,1.738396915479663e-14,2.2387173760926067e-06,195.0,0.0037789344787597656,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.2,53,True,2.6106815213889606e-15,2.2663250036408994e-06,102.0,0.002089262008666992,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.3,44,True,9.430562902895912e-14,1.456867389539912e-06,85.0,0.0015795230865478516,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.4,34,True,1.0970555948595417e-15,1.3298958130210766e-06,72.0,0.0011832714080810547,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.5,30,True,2.299332047241636e-16,2.3679827866799173e-07,65.0,0.001058816909790039,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.6,37,True,3.5192433573213334e-16,8.251831005390141e-07,88.0,0.0015108585357666016,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.7,43,True,1.9087013553319745e-15,1.7317584014009698e-06,118.0,0.0022437572479248047,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.8,49,True,1.7747717958701182e-15,1.7564512443782197e-06,159.0,0.0024216175079345703,False
P7_Extended_Rosenbrock_n2,BFGS_armijo,0.2,,2.0,0.9,49,True,6.371054868808215e-16,1.0687298543700275e-06,289.0,0.0033507347106933594,False
P7_Extended_Rosenbrock_n2,DFP_armijo,0.5,,1.9,0.1,1485,True,8.416688007528243e-13,1.7606173912477508e-06,2972.0,0.05060076713562012,False
P7_Extended_Rosenbrock_n2,DFP_armijo,0.5,,1.9,0.2,76,True,1.4781287796542438e-14,2.0067073250026986e-06,157.0,0.0028111934661865234,False
P7_Extended_Rosenbrock_n2,DFP_armijo,0.5,,1.9,0.3,49,True,2.4952376026754633e-14,2.21223288799797e-06,101.0,0.0017595291137695312,False
P7_Extended_Rosenbrock_n2,DFP_armijo,0.5,,1.9,0.4,2000,False,1.9141681309032078e-05,0.16055374866456193,4007.0,0.07320761680603027,False
P7_Extended_Rosenbrock_n2,DFP_armijo,0.5,,1.9,0.5,35,True,5.081229519189417e-16,6.934880750575919e-07,72.0,0.0013344287872314453,False
